Customer Name,Address,Email,Total Orders,Order Type
Jaswinder Singh,"37 Broadwide Road, Rummidge, RU6 7HG",JasSingh78@example.com,57,Individual
Mark Harper,"Flat 5, Riverside House, Anytown, AN2 8NE",Mark.Harper@example.com,5,Packets
Melinda Nagy,"77 Melton Road, Somecity, SM12 1HE",MelN@example.com,152,Ind.
Yichen Zhang,"6/1 Braeside Court, Scotstoun, SC5 1HE",YZ41234253@example.com,17,Packets
Mark Harper,"Flat 5, Riverside House, Anytown, AN2 8NE",Mark.Harper@example.com,5,Packets
Rebecca Jameson,"The Old Rectory, Humbleside, Marksham, MA14 6LW",BeckyJamzie@example.com,271,Individual
Willem deVries,"17 Parkside, Newtown-le-Willows, NL18 5TH",deVries1955@example.com,23,Packets
Jaswinder Singh,"37 Broadwide Road, Rummidge, South Midlands, RU6 7HG",JasSingh78@example.com,72,Individual
James Colton,"19 Belton Street, Isle of Trees, IT2 5PQ",JimmyColton@example.com,6,Packets
Ethel Trellis,"1 The Avenue, Foxley Estate, Rummidge, RU4 7WF",EthelsPlace@example.com,2,Packets
